Type,Plant - Common,Full Grown Characteristics,Flower Color,Soil Type,Sun Exposure,Foliage Color
FRUITS,Sweet Cherry,"30-35'Tx30-35'W, white, fragrant flowers, Spring, deep purple fruit with dark red, juicy flesh, mid-summer, Old Variety-dependable high yields",White,,,
GRASSES,"Bluestem, Big","4-8'Tx2-3'W, blue-green foliage, Summer blooming, copper FC, DR, Salt Tolerant, Butterflies, N                                       ",,Dry,Sun/Part Sun,Blue / Green
GRASSES,"Bluestem, Little","3'Tx2'W, upright, burgundy/pink/blue foliage, N","purplish-bronze flowers then white, fluffy seed heads",Dry to average,Full Sun,Burgundy/Pink/Blue
GRASSES,"Bluestem, Little","3-4'Tx2'W, upright growth habit, scarlet red turning to deep red/purple foliage",,Dry to average,Full Sun,Red/Deep Red/Purple
GRASSES,"Bluestem, Little","3-4'Tx2'W, silver flowers, late Summer, tight, upright habit with blue cast, Fall Color, N",Silver,Dry,Full Sun,Blue-Green
GRASSES,"Bluestem, Little","3-4'Tx2-3'W, silver flowers, late Summer, tight, upright habit, silvery-blue stems, deep, wine-red Fall Color, N", ,,,
GRASSES,"Bluestem, Little","4'Tx 3'W, tan flowers, late Summer, tight, upright habit, green foliage turning to irridescent silver/mauve/purple, Fall Color, N",,,,
GRASSES,"Dropseed, Prairie","2-3'Tx2-3'W, deep green foliage, clump forming, fine texture,  N",Pink/brown,Dry,Full Sun,Deep Green
GRASSES,Feather Reed Grass,"4-6'Tx3-4'W, vertical clumper June-October",Beige/Pink,Average to wet,Sun/Part Sun,Deep Green
GRASSES,"Feather Reed Grass, Avalanche","4-5'Tx18-24""W, variegated foliage, vertical clumper, July-Sept",Silver,Average to wet,Sun/Part Sun,Green/White Variegated
GRASSES,Fountain Grass,"3-4'Tx3-4'W, reddish flowers, August-October, yellow Fall Color                                                         Plant Group 2g- 4pts/flat@$7/pot",Reddish,Average to wet,Full Sun,Bright Green
GRASSES,Fountain Grass,"2-3'Tx2-3'W, red flowers, August-September, upright habit, needs moist-wet soil                                                              ",Red,Moist,Full Sun,Green
GRASSES,"Fountain Grass, Black","2-3'Tx3-4'W, black flowers, Sept-October                                                                                      ",Black,Average to wet,Full Sun,
GRASSES,"Fountain Grass, Dwarf","8-12""Tx12-18""W, wheat-colored flowers, late summer, variegated green/red foliage, red Fall Color",Wheat,Average,Full Sun,Variegated Green/Red
GRASSES,"Fountain Grass, Dwarf","2'Tx2'W, compact, white flowers, August-October",White,Average to wet,Full Sun,Green
GRASSES,"Fountain Grass, Dwarf","12""Tx24""W, creamy, bunny-tail flowers, Aug-Oct, birds, Deer Resistant",Creamy,Average to wet,Full Sun,Green
GRASSES,"Gramma Grass, Blue","2-3'Tx3'W, flag-like golden flowers, Summer, blue-green, stiff stems, N",Golden,Average to dry ,Full Sun,Blue-green
GRASSES,"Hair Grass, Tufted ","18-24""Tx12-18""W, dark green foliage, wispy silver blooms, late Spring, full sun/moist soil, N",Silver,Moist,Sun/Part Sun,Dark Green
GRASSES,"Hair Grass, Tufted ","18-24""Tx18-24""W, dark, evergreen green foliage, pink wispy blooms, late Spring, light shade/moist soil, N",Pink ,Moist,Part Shade,Dark Green
GRASSES,Hakone Grass,"12""-18""Tx18-24""W, yellow & green foliage, resembles bamboo",,Moist,Part Shade,Yellow/Green
GRASSES,Indian Grass,"4-6'Tx1-2'W, steely blue upright foliage, Aug, Fall Color, N                                                                                              ",,Dry to average,Full Sun,Steely  Blue
GRASSES,Indian Grass,"4-6'Tx1-2'W, steely blue upright foliage, Aug, Fall Color, N",,,,Steely  Blue
GRASSES,"Love Grass, Purple","18-24""Tx2-3'W, bronze/red flowers, Fall, red Fall Color, spreader, poor soils, N",Bronze/Red,Poor,Full Sun,Light Green
GRASSES,Maiden Grass,"2-3'Tx 2-3'W, creamy white/green variegated foliage",,Average,Sun/Part Sun, White /Green variegated
GRASSES,Maiden Grass,"5-7'Tx2-3'W, graceful arching clumper, Copper flowers, October, sterile flowers",Copper,Average,Sun/Part Sun,Green
GRASSES,"Mondo Grass, Black","8-12""Tx8-12""W, shiny black strap-like foliage, pink flowers, July-Aug",Pink,Moist,Full Sun,Shiny Black
GRASSES,"Moor Grass, Autumn","1'Tx2'W, evergreen, silver flowers, September, clumper                                                                                                              ",Silver,Dry to average,Sun/Part Sun,Yellow-green
GRASSES,Muhly Grass,"2-3'Tx2-3'W, thin, green foliage, clumper, pink plumes, Aug",Pink,Dry to average,Sun/Part Sun,Green
GRASSES,"Sea Oats, Northern","2-3'Tx2-3'W, 3 season interest, clumper, Aug, N",oat-like seedheads,Average,Full sun to Full Shade,Deep Green
GRASSES,"Sedge, Variegated Japanese","12-24""Tx12-24""W, tan flowers, late Spring, variegated green/white foliage, clumper, shade",,,,
GRASSES,"Sedge, Variegated Japanese","12-18""Tx12-18""W, tan flowers, late Spring, variegated green/white foliage, clumper, shade",,,,
GRASSES,"Sedge, Appalachian","6-8""Tx15-18""W, thin, long, wispy foliage, clumper, shade, N",,Average,Part/Full Shade,Green
GRASSES,"Sedge, Blue Zinger","2'Tx2'W, fine-textured, arching blue foliage, Sun-Shade, DR &DR",,,,
GRASSES,"Sedge, Bunny Blue","8-12""Tx12-16""W, evergreen, metallic-blue foliage, Deer resistant, N",,Average,Part/Full Shade,Metallic Blue
GRASSES,"Sedge, Pennsylvania","6-8""Tx6-8""W, green foliage, butterflies and birds, dry, dark-shade, N",Yellow/brown,Dry to average,Part/Full Shade,Green
GRASSES,"Sedge, Tussock","6-8""Tx6-8""W, bright green foliage, moist-wet shade, butterflies and birds, N",,Moist to wet,Part/Full Shade,Bright Green
GRASSES,Switch Grass,"4-5'Tx2-3'W, upright clump, metallic blue with red overtone foliage",,Moist,Full Sun,Metallic Blue w/Red 
GRASSES,Switch Grass,"4'Tx4'W, rose colored flowers and leaf tips, upright, dense clump, birds, Deer Resistant, DR, SaltT, N",Rose,Average,Full Sun,Grey-green
GRASSES,"Switch Grass, Blue","4'Tx2-3'W, blue foliage, yellow Fall Color",,Average,Full Sun,Blue
GRASSES,"Switch Grass, Dwarf","24-30""Tx24-30""W, amber flowers and seed heads, compact, upright habit , birds, Deer Resistant, DR, SaltT, N",Amber,Average,Sun/Part Sun,Green
GRASSES,"Switch Grass, Northwind","6'Tx2'W, wide, thick blue blades, Aug-September, N",Pink beige,Average,Sun/Part Sun,Blue Green
GRASSES,"Switch Grass, Purple Tears","4'Tx4'W, grey/white flowers that turn to purple seed heads, medium green foliage, birds",,,,
GRASSES,"Switch Grass, Shenadoah","3-4'Tx2'W, bright red leaves, blooms Aug-September, N",Red,Average,Full Sun,Blue Green becomes Bright Red 
GROUND COVER,"Archangel, Variegated Yellow","12""Tx 18""W, yellow flowers, Spring, variegated silver-green leaves, creates a radiating clump",Yellow,Moist,Part/Full Shade,Silver/Green variegated 
GROUND COVER,"Aster, Heath","3""Tx2-4'W, white flowers, Fall, gray-green leaves, prostrate growth habit, Butterflies, Bees",,,,
GROUND COVER,"Azalea, Ground Cover","1'Tx 5'W, light red flowers, Spring,  dark evergreen foliage, trailing growth habit",Lt Red,Moist,Sun/Part Sun,Dark Green
GROUND COVER,"Azalea, Ground Cover","2'Tx4'W, silvery, pink flowers, late May into June, evergreen",Pink ,Moist,Sun/Part Sun,Dark Green
GROUND COVER,"Azalea, Ground Cover","2'Tx3-4'W, dark red flowers, dense, slow growing, Fall Color ",Dk Red/scarlet,Moist,Sun/Part Sun,Green
GROUND COVER,Barrenwort,"12""Tx15-18""W, 1"" yellow flowers, May, heart-shaped foliage, Deer Resistant",Yellow,Average to dry ,Part/Full Shade,Green
GROUND COVER,Barrenwort,"10-12""Tx15-18""W, red flowers, April-May, Deer Resistant",Red,Average to dry ,Part/Full Shade,Green
GROUND COVER,Barrenwort,"12""  (6-8""? - youngianum are the shorter of the barrenworts) Tx24""W, airy, dark pink flowers, early Spring, evergreen foliage, dry soil, Deer Resistant",Dk Pink ,Dry,Part/Full Shade,Green
GROUND COVER,Barrenwort,"12""Tx24""W, violet purple flowers, early Spring, evergreen foliage, dry soil, Deer Resistant",Violet Purple / White,Dry,Part/Full Shade,Green
GROUND COVER,Barrenwort,"12"" (6-8""?) Tx24""W,white flowers, early Spring, evergreen foliage, dry soil, Deer Resistant",White ,Dry,Part/Full Shade,Green
GROUND COVER,Bearberry,"6-12""Tx4-6'W, white flowers, Spring, evergreen, red berries, Fall Color, Birds, N ",White,"Dry, poor",Sun/Part Sun,Dark Green
GROUND COVER,Bearberry,"6-12""Tx4-6'W, white flowers, Spring, evergreen, red berries, Fall Color, Birds, N ",White,"Dry, poor",Sun/Part Sun,Dark Green
GROUND COVER,"Bellflower, Creeping","4-6""Tx24-30""W, lavender-blue flowers, May-June, dark green foliage",Lavender/Blue,Moist,Sun/Part Sun,Dark Green
GROUND COVER,"Bellflower, Fairy Thimble","2-4""Tx4-6""W, lavender-blue bell-shaped flowers, early summer, spoon-shaped green leaves, edible",Lavender/Blue,Moist,Sun/Part Sun,Green
GROUND COVER,"Blueberry, Dwarf","2'Tx2'W, white, bell-shaped flowers, May, blueberries-mid Summer, Fall Color",White ,Moist,Full Sun,Peachy orange new leaves turn blue-green
GROUND COVER,"Blueberry, Dwarf","1-2'Tx2'W, white, bell-shaped flowers, May, blueberries-mid Summer, Fall Color",White,Moist,Full Sun,Green
GROUND COVER,"Blueberry, Dwarf","2-3'Tx 2-3'W, white flowers, spring, blue fruit in mid-summer, boxwood-like foliage",White w/pink,Moist,Full Sun,Glossy Green
GROUND COVER,"Blueberry, Highbush Dwarf","3-4'Tx 3-4'W, pink flowers, spring, large, sweet summer berries, pink/blue green foliage",Pink,Moist,Full Sun,Pink/Blue Green
GROUND COVER,"Blueberry, Lowbush","8-12""Tx2-3'W, white flowers, May, vigorous, mid-summer, Fall Color, N",White,"Poor, acidic",Sun/Part Sun,Green
GROUND COVER,"Blueberry, Lowbush","12-15""Tx2-3'W, white flowers, May, dense, small, delicate leaves, mid-sum, Fall Color",White,Moist,Full Sun,Deep Green
GROUND COVER,Blue-eyed Grass,"8-10""Tx12""W, blue-purple, star-shaped flowers, May-June, grass-like foliage, moist soil, N",Blue/Purple,Moist,Full Sun,Deep Green
GROUND COVER,Bugle Weed,"4-6""Tx18-24""W, blue flowers, May-June, green-red crinkly foliage, Bees", Blue,Average,Sun/Part Sun,Red/Green
GROUND COVER,Bugle Weed,"4""Tx18-24""W, deep blue flowers, May-June, varigated, cream/pink/green foliage, Bees",Deep Blue,Average,Sun/Part Sun,Cream/Pink/Green
GROUND COVER,Bugle Weed,"2-4""Tx15-18""W, deep blue flowers, May, chocolate brown/deep purple foliage, Bees",Deep Blue,Average,Sun/Part Sun,Brown/Purple
GROUND COVER,Bugle Weed,"3-10""Tx10-14""W, blue flowers, late Spring-early Summer, glossy, dark mahogony foliage, Bees",Blue,Average,Sun/Part Sun,Glossy Dk Mahogany
GROUND COVER,Bunchberry,"3-6""Tx4-6'W, small white flowers, red fruit, burgundy/purple Fall color, birds, N",White,"Moist, acidic",Part Shade,Green
GROUND COVER,Candytuft,"18-20""Tx12-15""W, white flowers, May-June, evergreen",White,Average,Sun/Part Sun,Green
GROUND COVER,"Chokeberry, Dwarf","12-24""Tx18-24""W, white flowers/pink centers, Spring, black-purple fruit, Summer, brilliant red Fall Color, N",White/Pink,Moist,Sun/Part Sun,Green
GROUND COVER,"Chokeberry, Dwarf","12-14""Tx2.5-3'W, white flowers/pink centers, Spring, black-purple fruit, late Summer-Fall, brilliant red Fall Color, birds, N",,,,
GROUND COVER,Cotoneaster,"1-2'Tx3-4'W, white/pink flowers, Spring, shiny evergreen foliage, berries, birds, Fall color ",White / Pink,Moist,Part/Full Shade,Shiny Green
GROUND COVER,Cotoneaster,"1-1.5'Tx5-6'W, white-pink flowers, Spring, shiny evergreen foliage, orange/red fruit ",White / Pink,Moist,Sun/Part Sun,Shiny Green
GROUND COVER,"Cotoneaster, Willow Leaf ","12-18""Tx6-8'W semi-evergreen, red berries, Fall Color ",,Moist,Sun/Part Sun,Dark Green
GROUND COVER,Cranberry,"6-8""Tx1-3'W, pink flowers, mid-May, evergreen foliage, large, tart, red berries, mid-late Fall",,,,
GROUND COVER,"Creeper, Blue Star","2-4""Tx12-18""W, starry dark-blue flowers, May-September, evergreen deep-green foliage ",Dk Blue,Average,Sun/Part Sun,Deep Green
GROUND COVER,"Cypress, Russian","12""Tx8-10' W, soft, touchable, feathery foliage, bronze Fall/Winter Color, Deer Resistant",,Average,Sun/Part Sun,Green
GROUND COVER,"Cypress, Russian","12-15""Tx8-10'W, soft, touchable, feathery foliage, Drought and Deer Resistant, bronze Fall/Winter color", ,Average,Sun/Part Sun,Green
GROUND COVER,Deadnettle,"6-8""Tx18-24""W, white flowers, April-July, silver-white leaves, Drought and Deer Resistant",White,Average,Part/Full Shade,Silver White
GROUND COVER,Deadnettle,"6-8""Tx15-18""W, purple flowers, April-June, blue/green leaves w/silver edges, Drought and Deer Resistant ",Purple,Average,Part/Full Shade,Blue Green/Silver
GROUND COVER,Deadnettle,"6-8""Tx15-18""W, reddish-pink flowers, April-June, silver leaves w/green edges, Drought and Deer Resistant",Red/Pink,Average,Part/Full Shade,Silver/Green
GROUND COVER,Deadnettle,"6-8""Tx15-18""W, deep purple flowers, June-July, silver/green variegated foliage, Drought and Deer Resistant",Deep Purple,Average,Part/Full Shade,Silver/Green
GROUND COVER,Deadnettle,"6-8""Tx18-24""W, pink flowers, April-July, silver-white foliage, Drought and Deer Resistant",Pink,Average,Part/Full Shade,Silver /White
GROUND COVER,Deutzia,"1-2'Tx3-4'W,  small white flowers, late May, purple-red Fall Color  ",White,Average,Sun/Part Sun,Green
GROUND COVER,Deutzia,"1-2'Tx3'W,  small white flowers, late May, purple-red Fall Color, Deer Resistant  ",White,Average,Sun/Part Sun,Green
GROUND COVER,Deutzia,"1-2'Tx3'W,  small pink flowers, late May, purple-red Fall Color, Deer Resistant  ",Pink,Average,Sun/Part Sun,Green
GROUND COVER,Geranium,"8-10""Tx18-24""W, violet-blue saucer shaped 2"" flowers, June-October",Violet/Blue,Average,Sun/Part Sun,Deep Green
GROUND COVER,Geranium,"12-18""Tx24-30""W, reddish-purple flowers, June-September, brilliant red Fall Color",Red Purple,Moist,Sun/Part Sun,Green
GROUND COVER,Geranium,"10-12""Tx15-18""W, rose-pink flowers with reddish veining, deep green foliage, May-September",Rose/Pink Veins,Average,Sun/Part Sun,Deep Green
GROUND COVER,Geranium,"12""Tx 32-40"", clear blue flowers, late Spring-Fall, Deer Resistant",Clear Blue,Moist,Sun/Part Sun,Green
GROUND COVER,Geranium,"12""Tx 32-40"", light purple/blue flowers, late Spring-Fall, Deer Resistant, Bees",Light Purple/Blue,Average,Sun/Part Sun,Green
GROUND COVER,Geranium,"6-8""Tx32-40""W, white flowers with fine red veins, May-July, drought resistant, red Fall Color",White/Red Veins,Average,Sun/Part Sun,Green
GROUND COVER,Geranium,"1-1.5'Tx 32-40""W, long blooming, fragrant, dark magenta flowers, late Spring-mid Summer, Deer Resist, bronze/red FC",,,,
GROUND COVER,Geranium,"6-8""Tx18-24""W, pure white flowers, late May, small, deep green, deeply lobed foliage, May-June, Deer Resistant",White,Moist,Sun/Part Sun,Deep Green
GROUND COVER,"Geranium, Wild","18-24""Tx12-18""W, small pink-lavender single flowers, mid-May-late June, butterflies, N",Pink/Lavender,Average,Sun/Part Sun,Deep Green
GROUND COVER,Geranium,"12""Tx18-24""W, soft pink flowers with pink veins, all Summer, Bees and Butterflies, Deer Resistant",Pink/Pink Veins,Average,Sun/Part Sun,Green
GROUND COVER,"Ginger, Chinese Wild","4-6""Tx10-12""W, dark purple flowers, April-May, evergreen, heart-shaped leaves w/ silver mottling",Dark Purple,Moist,Part/Full Shade,Green/Silver
GROUND COVER,"Ginger, European","6-8""Tx8-10""W, evergreen, glossy, dark green, leathery leaves",,Moist,Part/Full Shade,Glossy Dark Green
GROUND COVER,"Ginger, Wild","8-10""Tx8-10""W, non-glossy foliage, tight, mounding, N",,Moist,Part/Full Shade,Green (not glossy)
GROUND COVER,Golden Star,"6""Tx12""W, yellow daisy-like flowers, June-July, N",Yellow,Moist,Sun/Part Sun,Dark Green
GROUND COVER,"Heath, Spring","15-18""Tx24""W, deep purple, bell-shaped flowers, March/April, evergreen foliage",Deep  Purple,Moist,Sun/Part Sun,Green
GROUND COVER,"Heath, Spring","18-24""Tx2-3'W, deep purple-red bell-shaped flowers, late March/April, evergreen foliage",Deep Purple/Red,Moist,Sun/Part Sun,Green
GROUND COVER,"Heath, Spring","6-12""Tx30""W, white, bell-shaped flowers, late March-April, low spreading, evergreen ground cover",White,Moist,Sun/Part Sun,Green
GROUND COVER,"Heather, Scotch","12-20""Tx18-24""W, red-tipped foliage, Spring, soft lavender blooms, late summer, chocolate-colored winter foliage",Lavender,"Moist, sandy, acidic",Sun/Part Sun,Red Tipped to Green
GROUND COVER,"Heather, Scotch","12-18""T x 3'W, pink flowers, Summer-Fall, evergreen foliage",Pink ,"Moist, sandy, acidic",Sun/Part Sun,Yellow/orange to Green
GROUND COVER,"Heather, Summer ","12-24""Tx18-30""W, double pink flower, Summer, evergreen foliage",Light Pink,"Moist, sandy, acidic",Sun/Part Sun,Green
GROUND COVER,"Heather, Summer ","12-24""Tx18-30""W, white flower, Summer, evergreen foliage",White,"Moist, sandy, acidic",Sun/Part Sun,Green
GROUND COVER,"Heather, Summer ","12-24""Tx18-30""W, red-purple flower, Summer, evergreen foliage",Red/Purple,"Moist, sandy, acidic",Sun/Part Sun,Dark Green
GROUND COVER,Hens and Chicks,"3-4""Tx10-12""W, rose-red flowers, mid-summer, succulent foliage",Rose/Red,Dry,Full Sun,Green w/silver threads
GROUND COVER,Hens and Chicks,"3-4""Tx10-12""W, pink-purple flowers, mid-summer, succulent foliage",Pink/Purple,Dry,Full Sun,Deep Green/Red
GROUND COVER,Hens and Chicks,"3-4""Tx 10-12"" W  (6) 3 of each variety",,Dry,Full Sun,
GROUND COVER,"Huckleberry, Black","2-3'T, pink-red flowers, Spring, blue fruit, dry acidic slopes/woodland, colony, full-filtered light, red Fall Color, Birds, N",Red/Pink,"Dry, Acidic",Filtered Shade,Green
GROUND COVER,"Huckleberry, Box","10-15""Tx3-4'W, white-pink flowers, June, berries, moist soils, reddish Fall Color, N",White/Pink,"Moist, acidic",Filtered Shade,"Glossy, dark green"
GROUND COVER,"Ice Plant, Cooper's Trailing ","4""Tx18-24""W, rose/pink daisy-like flowers, Summer, succulent foliage",Rose/Pink  ,Dry,Full Sun,Green
GROUND COVER,"Ice Plant, Hardy ","2-3""Tx18-24""W, daisy-like, sunny, yellow flowers, June, succulent foliage",Yellow,Dry,Full Sun,Green
GROUND COVER,Ice Plant,"3""Tx2'W, orange/coral starburst-shaped flowers, succulent foliage, dry soil only, Butterflies",Orange/Coral,Dry,Full Sun,Green
GROUND COVER,Ice Plant,"3""Tx2'W, soft mauve starburst-shaped daisy-like flowers, succulent foliage, dry soil only, Butterflies",Mauve/Lavender,Dry,Full Sun,Green
GROUND COVER,"Iris, Dwarf Crested","6-9""Tx10-12""W, woodland wildflower, pale blue flower, April-May, N                                                        ",Pale Blue,Average,Part/Full Shade,Green
GROUND COVER,"Iris, Dwarf Crested","6-9""Tx10-12""W, woodland wildflower, white flower, April-May, N                                                             ",White,Average,Part/Full Shade,Green
GROUND COVER,"Juniper, Compact Andorra","1'Tx4-6'W, vase-like form, bronze-purple, fall color, N",,Average,Full Sun,Green
GROUND COVER,"Juniper, Dwarf Jap Garden ","6""Tx6-8'W, blue-green foliage, dwarf,compact mat",,Average,Full Sun,Blue/Green
GROUND COVER,"Juniper, Dwarf Jap Garden ","6""Tx6-8'W, blue-green foliage, dwarf,compact mat",,,,Blue/Green
GROUND COVER,"Juniper, Low Growing","4""Tx8-10'W, flat growing silver-blue foliage, aggressive, N",,Average,Full Sun,Silver/Blue
GROUND COVER,"Juniper, Low Growing","2'Tx3-4'W, rich blue foliage, slow growing, low/rounded",,Average,Full Sun,Rich Blue 
GROUND COVER,"Juniper, Low Growing","1-1.5'Tx8-10'W, horizontal branching habit, mass planting, banks",,Average,Full Sun,Green
GROUND COVER,"Juniper, Low Growing","4""Tx10-12', deep green summer foliage/purple winter foliage, N",,Average,Full Sun,Deep Green
GROUND COVER,"Juniper, Low Growing","6-12""Tx8-10'W, steel blue foliage, quick grower, seashore, sandy soil, N",,Average,Full Sun,Steely  Blue
GROUND COVER,"Juniper, Low Growing","4-6'Tx6-8'W, vase-like, arching form, kelly green foliage, tolerant of dry, sandy soils, salt tolerant",,Average,Full Sun,Kelly Green
GROUND COVER,"Juniper, Low Growing","3-4'Tx6-7'W, fine-textured, medium green-colored needled foliage",,Average,Full Sun,Med Green
GROUND COVER,"Juniper, Low Growing","15-18""Tx 6-8' (4-6'?)W, deep green/silver hue foliage, lots of blue cones, tough, deer resistant, N",,Average,Full Sun,Deep Green/Silver
GROUND COVER,"Juniper, Shore ","6""Tx8-10' W, blue-green, longer needle, foliage, shore",,Average,Full Sun,Blue Green
GROUND COVER,"Leadwort, Plumbago","12""Tx24-30""W, spreading habit, deep blue flowers, bronzy/red fall color, Aug-Oct",Deep Blue,Average,Sun/Part Sun,Green
GROUND COVER,Lily of the Valley,"6-8""Tx1-2'W, fragrant, white bell-shaped flowers, May-June",White,Average,Full/Part Shade,Green
GROUND COVER,"Mint, Corsican","1""Tx18-24""W, ground hugging form, pleasantly aromatic",,Average,Sun/Part Sun,Green
GROUND COVER,"Moss, Irish","1""Tx12""W, white flowers, soft green mat, spring",White,Average,Part/Full Shade,Green
GROUND COVER,"Moss, Scotch","1""Tx12""W,  white flowers, Spring, chartreuse green mat",White,Average,Part/Full Shade,Chartreuse Green
GROUND COVER,Paxistima (Mountain Jade),"8-12""Tx2-3'W, evergreen, prickly-edged foliage, part shade-sun",,Average,Sun/Part Sun,Dark Green
GROUND COVER,Pachysandra  ,"6""Tx6""W, white flowers, April, evergreen foliage, Deer Resistant",White,Average,Part/Full Shade,Dark Green
GROUND COVER,Pachysandra  (Allegheny Spurge),"6-8""x6-8"",  fragrant white flowers, early April, slightly mottled deep green leaves, evergreen, N",White,Average,Part/Full Shade,Deep Green mottled
GROUND COVER,Partridgeberry,"1-2""Tx18-24""W, pink flowers, early June, bright red berries, N",Pink,,,
GROUND COVER,Periwinkle,"6""Tx3'W, deep blue flowers, May, variegated leaves",Deep Blue ,Moist,Part/Full Shade,Green/WhiteVarigated
GROUND COVER,Periwinkle,"6""Tx3'W, blue flowers, May, rich green leaves",Blue,Moist,Part/Full Shade,Rich Green
GROUND COVER,Periwinkle,"6-10""Tx15-18""W, wine, reddish-purple flowers, May",Red/Purple,Moist,Part/Full Shade,Green
GROUND COVER,Periwinkle,"6-10""Tx15-18""W, white flowers, May",White,Moist,Part/Full Shade,Green
